260.83190  30.79085
259.92603  30.78054
259.59143  30.88651
258.54898  31.31354
258.18770  31.49226
257.15561  31.84553
256.78929  32.02400
255.92933  32.37902
255.35202  32.61548
254.47171  32.90847
253.95314  33.05085
252.76838  33.43298
252.52829  33.51389
251.82351  33.71147
250.84603  33.95215
250.42534  34.05509
249.72977  34.20816
248.73180  34.46562
248.30211  34.57573
247.02258  34.98438
246.80487  35.05887
245.41394  35.50347
245.29094  35.53539
244.55660  35.71528
243.62467  36.01698
243.03533  36.15104
242.31420  36.28466
241.10367  36.51108
240.85822  36.56041
240.15177  36.65367
239.44337  36.74655
238.78048  36.76054
238.11235  36.78180
237.42477  36.83290
236.77856  36.81591
236.08908  36.86638
235.39836  36.91649
234.66201  37.03380
233.74097  37.42071
233.04138  37.95151
233.24266  38.14143
233.77265  38.34127
234.30368  38.54130
234.89905  38.65102
235.49517  38.76069
236.06526  38.90918
236.70522  38.95719
237.33217  39.02448
237.93334  39.13063
238.58877  39.15646
238.87873  39.22626
239.17626  39.28501
239.83991  39.29872
240.50064  39.31634
241.15854  39.33787
241.78745  39.40495
242.42464  39.45938
243.09745  39.45646
243.78175  39.43358
244.53575  39.29228
245.29714  39.13234
246.09971  38.89313
246.88097  38.68170
247.70886  38.37427
248.57029  37.98752
249.41734  37.60917
250.22131  37.29964
251.05594  36.90989
251.90739  36.46230
252.73646  36.04063
253.56242  35.60288
254.42236  35.05643
255.24301  34.57710
256.07588  34.03643
256.82264  33.70184
257.54267  33.42589
258.27979  33.08529
259.02655  32.69647
259.76249  32.31966
260.59113  31.61326
260.82414  31.34071
